clone, divRt, movRt, livePop, historicPop, rA, hA, generations, seed, nInitCell, w, h, 
all, -1, -1, 0, 5, 0.7, 0.0, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 2, 0.7, 0.05, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.7, 0.05, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.7, 0.05, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.7, 0.05, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.7, 0.05, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 2, 0.7, 0.05, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.7, 0.05, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.7, 0.05, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.7, 0.05, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 5, 0.7, 0.05, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 2, 0.7, 0.1, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.7, 0.1, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.7, 0.1, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 2, 0.7, 0.1, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.7, 0.1, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 2, 0.7, 0.1, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.7, 0.1, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.7, 0.1, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 2, 0.7, 0.1, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.7, 0.1, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.7, 0.15000000000000002, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.7, 0.15000000000000002, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.7, 0.15000000000000002, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.7, 0.15000000000000002, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.7, 0.15000000000000002, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.7, 0.15000000000000002, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.7, 0.15000000000000002, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.7, 0.15000000000000002, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.7, 0.15000000000000002, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.7, 0.15000000000000002, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.7, 0.2, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.7, 0.2, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.7, 0.2, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.7, 0.2, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.7, 0.2, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.7, 0.2, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.7, 0.2, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.7, 0.2, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.7, 0.2, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.7, 0.2, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.7, 0.25, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.7, 0.25, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.7, 0.25, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 2, 0.7, 0.25, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.7, 0.25, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.7, 0.25, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.7, 0.25, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.7, 0.25, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 2, 0.7, 0.25, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.7, 0.25, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.7, 0.3, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.7, 0.3, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.7, 0.3, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.7, 0.3, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.7, 0.3, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.7, 0.3, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.7, 0.3, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.7, 0.3, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.7, 0.3, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 4, 0.7, 0.3, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 2, 0.7, 0.35, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.7, 0.35, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 3, 0.7, 0.35, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.7, 0.35, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 8, 0.7, 0.35, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 2, 0.7, 0.35, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 2, 0.7, 0.35, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 3, 0.7, 0.35, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 1, 0.7, 0.35, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 8, 0.7, 0.35, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.7, 0.39999999999999997, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.7, 0.39999999999999997, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 2, 0.7, 0.39999999999999997, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 2, 0.7, 0.39999999999999997, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.7, 0.39999999999999997, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.7, 0.39999999999999997, 200, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.7, 0.39999999999999997, 200, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 2, 0.7, 0.39999999999999997, 200, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 2, 0.7, 0.39999999999999997, 200, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.7, 0.39999999999999997, 200, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.7999999999999999, 0.0, 100, 54907, 4, 50, 50, 
neutral_1, 0.1, 0.2, 0, 1, 0.7999999999999999, 0.0, 100, 54907, 4, 50, 50, 
neutral_2, 0.1, 0.2, 0, 1, 0.7999999999999999, 0.0, 100, 54907, 4, 50, 50, 
neutral_3, 0.1, 0.2, 0, 3, 0.7999999999999999, 0.0, 100, 54907, 4, 50, 50, 
all, -1, -1, 0, 6, 0.7999999999999999, 0.0, 100, 54907, 4, 50, 50, 
neutral_0, 0.1, 0.2, 0, 1, 0.7999999999999999, 0.0, 200, 54907, 4, 50, 50, 
